evento,link
2001 diciembre Saqueos en Argentina.pdf,http://drive.google.com/uc?export=view&id=1IaOnJMwVYtV7zw1piZB0Ly_K6x4rvHHj
1990 11 de febrero Liberación de Nelson Mandela .pdf,http://drive.google.com/uc?export=view&id=1PzUoGS0bTx9jYmvSJ2W3iCTcs3Wtcx3v
2000 20 de abril Ley Banelco (flexibilización labora).pdf,http://drive.google.com/uc?export=view&id=1GjCG-bXgec98fr82Vj2fLUYiR_k9C4Q-
1993 Bunge y Born firma convenio con la Municipalidad de Bs As.pdf,http://drive.google.com/uc?export=view&id=1LIWRzZ_KzPUCAwpGaEsVXQKDvSa-MI6g
1999 17 de diciembre El Correntinazo.pdf,http://drive.google.com/uc?export=view&id=1QWuv7Q7ire5EjxUj2XNsGuzfNDfq-E9k
1999 31 de agosto Accidente de LAPA en Aeropuerto Jorge Newbery.pdf,http://drive.google.com/uc?export=view&id=1ZwTC-4MTmsI95Ukdbo0IIJ1rOemRAZmR
1992 17 de marzo Atentado terrorista a la Embajada de Israel.pdf,http://drive.google.com/uc?export=view&id=1pv57VcGetjPcyLSWR77WY_GCnN6kprYt
1991 27 de marzo Ley de Convertibilidad .pdf,http://drive.google.com/uc?export=view&id=1HJpqSiSoTTWRrkok1u_GHiek7F4j9szB
2001 11 de septiembre Atentado a las Torres Gemelas.pdf,http://drive.google.com/uc?export=view&id=1ET2IvZ9rRNsEybSOmXobe2zu7psYkgBv
"1985 julio Alfonsín declara ""economía de guerra"".pdf",http://drive.google.com/uc?export=view&id=1J8ou-bru6DaPX97gDmca49miOBaTpXCT
2013 13 marzo Designación de Jorge Bergoglio como Papa Francisco.pdf,http://drive.google.com/uc?export=view&id=1_nHvC3fZicccBxUlTJsHULNnoP_cCT2I
"2011 28 octubre ""Cepo"" cambiario.pdf",http://drive.google.com/uc?export=view&id=1M2hhJ7nsn_KH9P2-qvZeDKV80pIaNnDC
1991 13 de noviembre Lay Nacional N1 24.013 del Empleo.pdf,http://drive.google.com/uc?export=view&id=1gNFNx4-kb-O5CF9XYZWk_KQWIlcTQz4J
2009 1 noviembre Entra en vigencia la Asignación Universal por Hijo.pdf,http://drive.google.com/uc?export=view&id=1ExgA8bHyFzpnStTUwpNNdFJtcKwewQ-3
2005 15 diciembre Discurso de Nestor Kirchner sobre el pago de la deuda externa.pdf,http://drive.google.com/uc?export=view&id=1Yy3R7mgS3fkSx6T34Iwx7If7vmse8Agh
2014 19 agosto Cristina anuncia pago soberano de la deuda externa.pdf,http://drive.google.com/uc?export=view&id=1HMxV_pXbshJxXidyURHRAeDJ-h7S0wMa
1985 5 agosto y 1987 24 abril se reglamenta la Ley de Hidrocarburos (1967).pdf,http://drive.google.com/uc?export=view&id=1trlpSt8U7UeKXMbC0-8HLuo2YCy1vtXK
1984 31 de octubre Asesinato de Indira Gandhi.pdf,http://drive.google.com/uc?export=view&id=1hvjBMoq2KDPdaPZhUqdZhTSgvFDoCLao
1991 31 de octubre Menem decreta la desregulación de la economía.pdf,http://drive.google.com/uc?export=view&id=13evsqdk0PAJUFJP2F55A7ARkGXSqPHvs
1985 Fin de la guerra fría.pdf,http://drive.google.com/uc?export=view&id=1LkaSr2Ud7ghuuFxXdkusS1waJT3ebtPh
1983 10 diciembre Presidencia Dr. Alfonsín.pdf,http://drive.google.com/uc?export=view&id=1iJrYQKTb453WkDrSP8q-4rSYRETeB6o8
1980 10 julio Discurso Martínez de Hoz sobre la segunda parte del Plan Económico.pdf,http://drive.google.com/uc?export=view&id=1dm-04Boa-Zr9D9GTsvB_C5jA7jsYyhFM
2 de abril de 1976 Plan Económico de Martínez de Hoz.pdf,http://drive.google.com/uc?export=view&id=1xvvLHrsjh-V4m1MqcrRnKsbxiYdNarPZ
1982 2 mayo Hundimiento Crucero General Belgrano.pdf,http://drive.google.com/uc?export=view&id=1wLAUp6Sm5-Eq2vdYM3vx1awi4ozALxm2
1976 24 marzo Golpe de Estado y Dictadura cívico-militar.pdf,http://drive.google.com/uc?export=view&id=1Ocxp-dBYQBH67ZsI_f3NIYMgGc6JRc85
"1966 16 mayo Revolución Cultural Proletaria, en China (Mao Tse-Tung).pdf",http://drive.google.com/uc?export=view&id=1wfBwx-uM6G45SkZ97gFfupHtgETD_c00
1972 17 junio Comienzo del Watergate.pdf,http://drive.google.com/uc?export=view&id=1iN1ejR8dOYYuIjkCcgBLhs8OZNEChgmy
1980 13 octubre Adolfo Pérez Esquivel recibe Premio Nobel.pdf,http://drive.google.com/uc?export=view&id=1aijH6DlgCFKU0d-9lizxKKK7j4s2ea1Q
1966 6 julio Fundación Cámara Argentina de Turismo.pdf,http://drive.google.com/uc?export=view&id=1hXLmmjnLMubamM36ECZrECLiDpQFe6Mq
1966 29 junio Asunción de Onganía.pdf,http://drive.google.com/uc?export=view&id=1d5eCHX9Wo7oVX3u-m6t8iuFql-FEQoza
1974 9 agosto Escándalo del Watergate.pdf,http://drive.google.com/uc?export=view&id=143UIj90-n4ns6RwxNIeeC9T7AMCT39G7
1969 20 julio Llegada del hombre a la Luna.pdf,http://drive.google.com/uc?export=view&id=1n-R250cew5MBZZdHt0m0FLS6J9SGBQ-O
1973 25 mayo Ministro de Economía Gelbard.pdf,http://drive.google.com/uc?export=view&id=1-8N5o8vu4nSFoCu25tSEdJP-n4hgwaSC
1966 28 junio Revolución Argentina.pdf,http://drive.google.com/uc?export=view&id=1AdGa72miOXa0UjwcY2JC_4wRGaoZv3Uf
"1968 22 marzo ""Mayo Francés"".pdf",http://drive.google.com/uc?export=view&id=1kdtrbQPOmrHLpyzT0TAa5CHzIJmmaXiV
1982 02 04 Malvinas.pdf,http://drive.google.com/uc?export=view&id=1t3dfXu7sQt3jvIaoOx0VF09tzOnqYYL0
1977 30 abril Las Madres de Plaza de Mayo.pdf,http://drive.google.com/uc?export=view&id=1adIACA9OxctFmydfdDCypd9cESKV3gca
1976 24 marzo HECHO TURÍSTICO Promoción de Turismo Receptivo.pdf,http://drive.google.com/uc?export=view&id=1xmsBr5pr3-oD-GiU_8ERLoaETwmuN9Cu
1968 05 ene al 20 ago Primavera de Praga.pdf,http://drive.google.com/uc?export=view&id=16Z7MW_3dNcex87eEiNOwyOkK48HbZq2D
1970 29 may Secuestro y Muerte de Aramburu.pdf,http://drive.google.com/uc?export=view&id=1qM9n98HFl9fyKHh0JbbTXyJmENZk-yLX
1968 4 abr Asesinato M L King.pdf,http://drive.google.com/uc?export=view&id=1JjER5Zk4f2gHs44o6mr3iL5o4Bmz7SNs
2003 14 may Se retira Menen de la segunda vuelta Menem Kirchner.pdf,http://drive.google.com/uc?export=view&id=1oC61Ew6ZG7G6TYmoXf3TrVUg6YS9UTHd
2002 2 ene Asume Duhalde la Presidencia de la Nación (hasta 25 may 2003).pdf,http://drive.google.com/uc?export=view&id=1rZedYROZPJMHpM4XEj6X2pyW3_EwSxxk
2001 13 dic Cronología de los hechos de diciembre de 2001.pdf,http://drive.google.com/uc?export=view&id=1VjK4YHOdSQVViW-EncSA7Qi0_5LbAHj3
2002 27 abr Designación de Lavagna como Ministro de Economía y Producción.pdf,http://drive.google.com/uc?export=view&id=1l4V7T7a9OxKwDMDdfcVI5C7mIvVrsPD4
2004 Tren de levitación magnética en Shangai.pdf,http://drive.google.com/uc?export=view&id=1_p4R_uH7CPu26Eb9jMCy95pCWnenLGwl
1967 24 jun Ley de Hidrocarburos.pdf,http://drive.google.com/uc?export=view&id=1T0_OxprubfbY_um9OMl4YRWUIH0zZedl
1966 06 julio HECHO TURÍSTICO Cámara Argentina de Turismo.pdf,http://drive.google.com/uc?export=view&id=1p4ZTrqdB_f4pzOWeeoUbvdY9gDKliQyx
1947 09 09 Ley 13010 de Voto Femenino Obligatorio.pdf,http://drive.google.com/uc?export=view&id=1J23YacVOVEACa-zUxXOugg-l_Cwk5W0T
1945 17 10 Día de la Lealtad.pdf,http://drive.google.com/uc?export=view&id=1WKP4AoUGuXf97L5rg7KBp-4jSAmsgfdF
1944 8 10 Sanción del Estatuto del Peón Rural.pdf,http://drive.google.com/uc?export=view&id=1z8B5KbvUXV54cHHXj4xqFiKL7NLbApU8
1945 27 12 FMI.pdf,http://drive.google.com/uc?export=view&id=1kTMnQ7ZqN4YQYEV8CqcrsjTpN5Q00KhA
1947 feb TURISMO Social.pdf,http://drive.google.com/uc?export=view&id=1pH7GP0E7BBLJnnRQ1VFS-c1Eh8yPPcdm
1933 28 11 Junta Reguladora de Granos.pdf,http://drive.google.com/uc?export=view&id=1NmuM3XwD3qTC1ROLs1EG4zEMVlRZnDog
1948 14 03 Plan Marshall.pdf,http://drive.google.com/uc?export=view&id=14TSs2ZWawBEK867z1IidycTaBxl5TI2j
1930 27 09 Fundación CGT.pdf,http://drive.google.com/uc?export=view&id=1OBm5RDoNZ-viYQut0qTMXm_BQTh7yxWP
1930 06 09 Golpe de Estado de Uriburu.pdf,http://drive.google.com/uc?export=view&id=1_EXecrEHh718Aw7XNGdjd_1Nbjm6PMOC
FECHAS creación de las juntas reguladoras.pdf,http://drive.google.com/uc?export=view&id=1LMMdj_o5MO4diop0v0LbJwGknfHvApbz
1991 27 03 Ley de Convertibilidad.pdf,http://drive.google.com/uc?export=view&id=1_zuWokEamkJAtHBXSKJnm_5J2GyaucFY
1929 24 10 Jueves Negro.pdf,http://drive.google.com/uc?export=view&id=1fqwXNIJ6AREQZ--UKpJ7pCbJByVl6oMF
1927 25 08 Argentina vuelve a la convertibilidad .pdf,http://drive.google.com/uc?export=view&id=1iiYqzetxXVsXtrt6qMdEB2e-2gCrxGCs
1914 28 07 - HECHO POLÍTICO INTERNACIONAL (cont 4).pdf,http://drive.google.com/uc?export=view&id=1fet2E9Jr7m1OfUW8YWcwSB9z9Ax7ydk4
1914 28 07 Primera Guerra Mundial (cont 3).pdf,http://drive.google.com/uc?export=view&id=15VOvxiNbjxD5awJmXszbrcbV2Q_S9bv-
1914 28 07 1ª Guerra Mundial (cont 2) .pdf,http://drive.google.com/uc?export=view&id=1mZxFierNnJtUAPWyeA7AryyqOqi9VnC3
1914 28 07 Primera Guerra Mundial (cont 1).pdf,http://drive.google.com/uc?export=view&id=1px6Bz0u7QdPd7xLM2c_ZfthrebOMMu00
1810 25 05 y 1816 09 07 Independencia de Argentina.pdf,http://drive.google.com/uc?export=view&id=1XIeILs8ZKysHHF93udEJIPpSRg8eW0SR
1886 12 10 Presidencia de Juárez Celman.pdf,http://drive.google.com/uc?export=view&id=1xQp7GJDALpJ6SuLZOP4p7TaDRzNCEX8D
1864 12 11 Guerra de la Triple Alianza contra el Paraguay.pdf,http://drive.google.com/uc?export=view&id=1NshGbGpPDgcBO95jT0BW8UHWI8kjd93W
3500 años AC - Aparición de la escritura.pdf,http://drive.google.com/uc?export=view&id=1X6yVZSpVk7Kos92vo-PQlk4vl3TF7l0Y
1750 1º Revolución Industrial.pdf,http://drive.google.com/uc?export=view&id=1Bg8ql7-MegEuQ-8Rgx5YYY-XfVzryAW4
9000 años AC La Revolución Neolítica.pdf,http://drive.google.com/uc?export=view&id=1i6LJe9t9zw8GK9wnh15VWqjelRyZYTNy
1492 12 de octubre Descubrimiento de América.pdf,http://drive.google.com/uc?export=view&id=1cCjReNnEiHTM4Gej3OgWvSDNLAfxP3UO
476 Fin Imperio Romano de Occidente y fin Edad Antigua.pdf,http://drive.google.com/uc?export=view&id=1Dz6E1JZKvzrjPL0dSh9YI8o2Mjsnc2zk
"1989 9-10 noviembre Caída del Muro de Berlín, significado para Argentina.pdf",http://drive.google.com/uc?export=view&id=1ktR6gixO2Wj1o0ljLuiBHxjs7Gjwt9uF
476 Caída Imperio Romano de Occidente Código QR.pdf,http://drive.google.com/uc?export=view&id=12M7SFOCaOJzd0GMqtI3U9Rx4YkQZshHh
1914-28 jul Primera Guerra Mundial (cont).pdf,http://drive.google.com/uc?export=view&id=1ml1EbS8dWkkqGGP_EzZPq6vs07BgkfBe
1958-24 jul Batalla petróleo.pdf,http://drive.google.com/uc?export=view&id=1cGfkiv1DMvhID4QE9HABSntijsCRFSwr
1914 – 28 jul Primera Guerra Mundial.pdf,http://drive.google.com/uc?export=view&id=18h1ebSgaG3B24xHR_vJmn0RFDa2gUvsZ
1945-05 mar Nacionalización de Gas del Estado.pdf,http://drive.google.com/uc?export=view&id=1SNUgHIRQIufuUa8iBQmOQvNNIAcFZ6Bk
1944-15 ene Terremoto de San Juan.pdf,http://drive.google.com/uc?export=view&id=19_OE5PKWmXQJEzVLyFYf1s9ZDHoLmQ74
1944-15 ene El peronismo.pdf,http://drive.google.com/uc?export=view&id=1rX5wCrRyY5GXK_uh2NjFIeiAIIScVdxK
1929-24 oct Crack de Wall Street.pdf,http://drive.google.com/uc?export=view&id=1_BVGX4q3VUOHolvmPKjKir_Mc5qbTmal
1938-20 feb gobierno de Ortiz.pdf,http://drive.google.com/uc?export=view&id=1gd8g358T4BkPZqFjVuX8-IXFfg5eCRPj
1945-17 oct Día de la Lealtad Peronista.pdf,http://drive.google.com/uc?export=view&id=1GSuxmHevuCiYr8f1siybRmxgUMvaLpub
1945-6 y 9 ago Bombardeos Hiroshima y Nagasaki.pdf,http://drive.google.com/uc?export=view&id=1I_tH6PK0wTm1SbPIM1qYSH572CWnLZSl
"2015 16 diciembre Fin del ""Cepo"" cambiario.pdf",http://drive.google.com/uc?export=view&id=1cixnYNAACZSefc8jtnHQStcIQ_ZARFbf
1999 31 de agosto Accidente de LAPA en Aeropuerto Jorge Newbery.pdf,http://drive.google.com/uc?export=view&id=1ZwTC-4MTmsI95Ukdbo0IIJ1rOemRAZmR
1992 17 de marzo Atentado terrorista a la Embajada de Israel.pdf,http://drive.google.com/uc?export=view&id=1pv57VcGetjPcyLSWR77WY_GCnN6kprYt
1991 27 de marzo Ley de Convertibilidad .pdf,http://drive.google.com/uc?export=view&id=1HJpqSiSoTTWRrkok1u_GHiek7F4j9szB
2001 11 de septiembre Atentado a las Torres Gemelas.pdf,http://drive.google.com/uc?export=view&id=1ET2IvZ9rRNsEybSOmXobe2zu7psYkgBv
"1985 julio Alfonsín declara ""economía de guerra"".pdf",http://drive.google.com/uc?export=view&id=1J8ou-bru6DaPX97gDmca49miOBaTpXCT
2013 13 marzo Designación de Jorge Bergoglio como Papa Francisco.pdf,http://drive.google.com/uc?export=view&id=1_nHvC3fZicccBxUlTJsHULNnoP_cCT2I
"2011 28 octubre ""Cepo"" cambiario.pdf",http://drive.google.com/uc?export=view&id=1M2hhJ7nsn_KH9P2-qvZeDKV80pIaNnDC
1991 13 de noviembre Lay Nacional N1 24.013 del Empleo.pdf,http://drive.google.com/uc?export=view&id=1gNFNx4-kb-O5CF9XYZWk_KQWIlcTQz4J
2009 1 noviembre Entra en vigencia la Asignación Universal por Hijo.pdf,http://drive.google.com/uc?export=view&id=1ExgA8bHyFzpnStTUwpNNdFJtcKwewQ-3
2005 15 diciembre Discurso de Nestor Kirchner sobre el pago de la deuda externa.pdf,http://drive.google.com/uc?export=view&id=1Yy3R7mgS3fkSx6T34Iwx7If7vmse8Agh
2014 19 agosto Cristina anuncia pago soberano de la deuda externa.pdf,http://drive.google.com/uc?export=view&id=1HMxV_pXbshJxXidyURHRAeDJ-h7S0wMa
1985 5 agosto y 1987 24 abril se reglamenta la Ley de Hidrocarburos (1967).pdf,http://drive.google.com/uc?export=view&id=1trlpSt8U7UeKXMbC0-8HLuo2YCy1vtXK
1984 31 de octubre Asesinato de Indira Gandhi.pdf,http://drive.google.com/uc?export=view&id=1hvjBMoq2KDPdaPZhUqdZhTSgvFDoCLao
1991 31 de octubre Menem decreta la desregulación de la economía.pdf,http://drive.google.com/uc?export=view&id=13evsqdk0PAJUFJP2F55A7ARkGXSqPHvs
1985 Fin de la guerra fría.pdf,http://drive.google.com/uc?export=view&id=1LkaSr2Ud7ghuuFxXdkusS1waJT3ebtPh
1983 10 diciembre Presidencia Dr. Alfonsín.pdf,http://drive.google.com/uc?export=view&id=1iJrYQKTb453WkDrSP8q-4rSYRETeB6o8
1980 10 julio Discurso Martínez de Hoz sobre la segunda parte del Plan Económico.pdf,http://drive.google.com/uc?export=view&id=1dm-04Boa-Zr9D9GTsvB_C5jA7jsYyhFM
2 de abril de 1976 Plan Económico de Martínez de Hoz.pdf,http://drive.google.com/uc?export=view&id=1xvvLHrsjh-V4m1MqcrRnKsbxiYdNarPZ
1982 2 mayo Hundimiento Crucero General Belgrano.pdf,http://drive.google.com/uc?export=view&id=1wLAUp6Sm5-Eq2vdYM3vx1awi4ozALxm2
1976 24 marzo Golpe de Estado y Dictadura cívico-militar.pdf,http://drive.google.com/uc?export=view&id=1Ocxp-dBYQBH67ZsI_f3NIYMgGc6JRc85
"1966 16 mayo Revolución Cultural Proletaria, en China (Mao Tse-Tung).pdf",http://drive.google.com/uc?export=view&id=1wfBwx-uM6G45SkZ97gFfupHtgETD_c00
1972 17 junio Comienzo del Watergate.pdf,http://drive.google.com/uc?export=view&id=1iN1ejR8dOYYuIjkCcgBLhs8OZNEChgmy
1980 13 octubre Adolfo Pérez Esquivel recibe Premio Nobel.pdf,http://drive.google.com/uc?export=view&id=1aijH6DlgCFKU0d-9lizxKKK7j4s2ea1Q
1966 6 julio Fundación Cámara Argentina de Turismo.pdf,http://drive.google.com/uc?export=view&id=1hXLmmjnLMubamM36ECZrECLiDpQFe6Mq
1966 29 junio Asunción de Onganía.pdf,http://drive.google.com/uc?export=view&id=1d5eCHX9Wo7oVX3u-m6t8iuFql-FEQoza
1974 9 agosto Escándalo del Watergate.pdf,http://drive.google.com/uc?export=view&id=143UIj90-n4ns6RwxNIeeC9T7AMCT39G7
1969 20 julio Llegada del hombre a la Luna.pdf,http://drive.google.com/uc?export=view&id=1n-R250cew5MBZZdHt0m0FLS6J9SGBQ-O
1973 25 mayo Ministro de Economía Gelbard.pdf,http://drive.google.com/uc?export=view&id=1-8N5o8vu4nSFoCu25tSEdJP-n4hgwaSC
1966 28 junio Revolución Argentina.pdf,http://drive.google.com/uc?export=view&id=1AdGa72miOXa0UjwcY2JC_4wRGaoZv3Uf
"1968 22 marzo ""Mayo Francés"".pdf",http://drive.google.com/uc?export=view&id=1kdtrbQPOmrHLpyzT0TAa5CHzIJmmaXiV
1966 28 junio Golpe de Estado que derroca al gobierno del Dr. Illia.pdf,http://drive.google.com/uc?export=view&id=18--DB_eENxlnqHfWbB_hKcZ1wPhANnR-
1955 16 septiembre Revolución Libertadora (hasta 01-05-1958).pdf,http://drive.google.com/uc?export=view&id=1wyXSRdviqldFUO2o0zVuMpRQ-5Zzo_vc
1958 (mediados) Comienza la Batalla del Petróleo.pdf,http://drive.google.com/uc?export=view&id=15jtmLf6_FCbQJZU2VzqpGggelCTQmHeM
1955 13 noviembre Gobierno de Aramburu.pdf,http://drive.google.com/uc?export=view&id=1I2PWxKEcaeXIaguUGdqiyjqHoSkkI6W_
1958 01 05 Gobierno del Dr. Frondizi (hasta 29-03-1962).pdf,http://drive.google.com/uc?export=view&id=1T3NNv3MIqUuvcBAaWo7OwcsBFRS7AGaa
1963 22 noviembre Asesinato de John F. Kennedy.pdf,http://drive.google.com/uc?export=view&id=15_br_pg5yIkNx6azhxBptHEDPw79ZwfP
1960 25 jul Frondizi inauguró SOMISA.pdf,http://drive.google.com/uc?export=view&id=1bsqhyevbPncBpKr1dWBB2cUgINAx3Atv
1944 01 jul Conferencia de Bretton Woods; fundación FMI y BM.pdf,http://drive.google.com/uc?export=view&id=1GLr7Fy9e2pKnM2BcMYEUXJjYW6OgHAVl
1949 11 marzo Reforma Constitucional de 1949.pdf,http://drive.google.com/uc?export=view&id=1mcHWCLbHr_v6sPm-WC-T5A6edqBDur41
1948 diciembre Declaración Universal de DDHH.pdf,http://drive.google.com/uc?export=view&id=12hdUNyz16Qsn0ngyDIanKZoss4ZVyBt-
