startdate,enddate,title,description,importance,link,icon,image,date_display,"low threshold","high threshold",y_position
"2001-12-21 13:41:00","2001-12-21 13:41:00","21-12-2001: Presidente Ramón Puerta (hasta 23-12-2001)",<p></p>,65,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-21 13:41:00","2001-12-21 13:41:00","21-12-2001: Ministro de Economía J. Capitanich (hasta 22-12-2001)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-22 13:41:00","2001-12-22 13:41:00","22-12-2001: Ministro de Hacienda R. Frigeri (hasta 03-01-2002)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-23 13:41:00","2001-12-23 13:41:00","23-12-2001: Presidente Adolfo Rodríguez Saá (hasta 30-12-2001)",<p></p>,65,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-25 00:55:00","2001-12-25 00:55:00","24-12-2001: Argentina entra en default (Rodríguez Saá)",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2001-12-30 13:41:00","2001-12-30 13:41:00","30-12-2001: Presidente Eduardo Caamaño (hasta 02-01-2002)",<p></p>,65,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-01 06:59:00","2002-01-01 06:59:00","2002: EEUU volvió a mostrar un crecimiento moderado",<p></p>,55,,shapes/triangle_gray.png,,ye,1,100,0,
"2002-01-01 13:41:00","2002-01-01 13:41:00","01-01-2002: entró en circulación el Euro (cotización por debajo del dólar de EEUU)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-02 13:41:00","2002-01-02 13:41:00","02-01-2002: Presidente Eduardo Duhalde (hasta 25-05-2003)",<p></p>,65,"[{""""url"""":""""https://drive.google.com/file/d/1kvbPtDwbRlNwxtkwiZSecTENsAOyp6uV/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"2002-01-03 13:41:00","2002-01-03 13:41:00","03-01-2002: Ministro de Economía J. Remes Lenicov (hasta 26-04-2002)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-06 06:59:00","2002-01-06 06:59:00","06-01-2002: Ley de Emergencia Económica y de Reforma del Régimen Cambiario (Ley 25.561). Fin de la Convertibilidad",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-06 19:26:00","2002-01-06 19:26:00","06-01-2002: tipo de cambio subió a 1,40$/U$D, mercado oficial. Existencia de un mercado libre.",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-06 19:26:00","2002-01-06 19:26:00","06-01-2002: pesificación de las tarifas públicas (se &#34;desdolarizaron&#34;)",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-09 19:26:00","2002-01-09 19:26:00","09-01-2002: &#34;Corralón&#34; (inmovilización de los plazos fijos)",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2002-01-09 19:26:00","2002-01-09 19:26:00","09-01-2002: pesificación de los créditos (U$D1=$1; créditos de hasta U$D100.000)",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2002-02-01 19:26:00","2002-02-01 19:26:00","Feb-2002: el tipo de cambio libre llegó a 2,10$/U$D; unificación del mercado de divisas y régimen de flotación administrada",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2002-02-03 19:26:00","2002-02-03 19:26:00","03-02-2002: pesificación asimétrica de los depósitos (U$D1=$1,40+CER) ",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2002-03-01 06:59:00","2002-03-01 06:59:00","Mar-2002: retenciones a las exportaciones productos primarios: petróleo rudo, soja, etc.",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2002-04-01 06:59:00","2002-04-01 06:59:00","2ºTrim-2002: superávit fiscal primario (no incluye intereses deuda pública)",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2002-04-01 06:59:00","2002-04-01 06:59:00","Abr-2002: creación del Plan Jefas y Jefes de Hogar (anticipo en ene-2002)",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2002-04-26 13:41:00","2002-04-26 13:41:00","26-04-2002: Ministro de Economía R. Lavagna (hasta 27-11-2005)",<p></p>,60,"[{""""url"""":""""https://drive.google.com/file/d/11P9HxebsAMJYDgPiclNxO6_E6e1nKxHW/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":""""0"""",""""height"""":""""0""""}",da,1,100,0,
"2002-06-26 06:59:00","2002-06-26 06:59:00","26-06-2002: asesinato de los piqueteros Kosteki y Santillán",<p></p>,55,"[{""""url"""":""""https://drive.google.com/file/d/1zMxywaVRAHbw3L3eOHxocqm-JufiQ8bo/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"2002-07-01 06:59:00","2002-07-01 06:59:00","Jul-2002: fraudes de las &#34;puntocom&#34; de Sillicon Valley (balances falsos; World Com, Enron, etc.)",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2002-12-02 13:41:00","2002-12-02 13:41:00","02-12-2002: finalizó el &#34;Corralito-Corralón&#34;",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2002-12-02 19:26:00","2002-12-02 19:26:00","02-12-2002: fin del &#34;Corralito&#34; y del &#34;Corralón&#34;",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2003-01-01 06:59:00","2003-01-01 06:59:00","01-01-2003: presidencia de Luiz Inácio Lula da Silva (hasta 01-01-2011)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2003-01-01 13:41:00","2003-01-01 13:41:00","2003: comienza el modelo de tipo de cambio real competitivo y estable ",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2003-01-01 22:35:00","2003-01-01 22:35:00","Ene-2003: se cerró acuerdo con FMI",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2003-03-20 06:59:00","2003-03-20 06:59:00","20-03-2003: invasión estadounidense a Irak: inicio Guerra de Irak (hasta 18-12-2011)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2003-04-01 19:26:00","2003-04-01 19:26:00","Abr-2003: comenzaron a devolverse los depósitos reprogramdos (c/cronograma)",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2003-04-27 06:59:00","2003-04-27 06:59:00","27-04-2003: elecciones presidenciales ganadas por Menem a balotaje",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2003-05-14 06:59:00","2003-05-14 06:59:00","14-05-2003: Menem renunció al balotaje. Néstor Kirchner quedó consagrado presidente",<p></p>,55,"[{""""url"""":""""https://drive.google.com/file/d/1SvxU__H2NT-Y3qA-Q-10zNFpop5Vfjvl/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"2003-05-19 06:59:00","2003-05-19 06:59:00","19-05-2003: Duhalde decretó el indulto de E. Gorriarán Merlo y M.A. Seineldín",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2003-05-25 13:41:00","2003-05-25 13:41:00","25-05-2003: Presidente Néstor Kirchner (hasta 10-12-2007)",<p></p>,65,"[{""""url"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"2003-05-25 13:41:00","2003-05-25 13:41:00","25-05-2003: inicio del 1º período &#34;K&#34;: &#34;Lustro virtuoso&#34; (Damill-Frenkel; hasta inicios 2007)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2003-06-01 13:41:00","2003-06-01 13:41:00","Mediados 2003: se detuvo la apreciación nominal y real",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2003-07-01 06:59:00","2003-07-01 06:59:00","2º Sem-2003: superávit fiscal total (incluyendo intereses deuda pública)",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2003-07-31 19:26:00","2003-07-31 19:26:00","31-07-2003: reintegro de títulos deuda pública en dólares a AFJP ",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2003-09-01 19:26:00","2003-09-01 19:26:00","Set-2003: acuerdo trienal con FMI (compromiso de superávit fiscal primario del 3% del PBI) ",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2003-12-01 13:41:00","2003-12-01 13:41:00","Fines 2003: el Euro cotiza por encima del dólar de EEUU",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2004-01-01 12:00:00","2004-01-01 12:00:00","Ene-2004: Pontaquarto declaró como &#34;arrepentido&#34; en la denuncia por las coimas a legisladores por la Ley de Reforma Laboral",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2004-01-01 22:44:00","2004-01-01 22:44:00","2004: tren de levitación magnética en Shangai",<p></p>,55,"[{""""url"""":""""https://drive.google.com/file/d/1u4GOymQQlQ_RUuSvwv19er6L-meQe_KM/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"2004-03-01 19:26:00","2004-03-01 19:26:00","Mar-2004: inicio de la cancelación de redescuentos (en cuotas)",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2004-05-01 06:59:00","2004-05-01 06:59:00","May-2004: Unión Europea incorpora 10 nuevos miembros (en total, 25 países)",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2004-06-01 22:35:00","2004-06-01 22:35:00","01-06-2004: propuesta definitiva de reestructuración de la deuda pública externa",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2004-10-01 12:00:00","2004-10-01 12:00:00","Oct-2004: inicio presidencia Tabaré Vázquez, en Uruguay",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2005-03-18 22:35:00","2005-03-18 22:35:00","18-03-2005: resultado del canje de la deuda pública: adhesión del 76,15%",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2005-06-01 13:41:00","2005-06-01 13:41:00","Jun-2005: nuevos controles de ingresos de capitales",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2005-06-01 13:41:00","2005-06-01 13:41:00","2005: política fiscal expansiva (egresos comenzaron a crecer a mayor ritmo que ingresos públicos) ",<p></p>,55,,shapes/triangle_gray.png,,ye,1,100,0,
"2005-10-01 13:41:00","2005-10-01 13:41:00","Oct-2005: victoria política del gobierno en elecciones legislativas",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2005-11-28 13:41:00","2005-11-28 13:41:00","28-11-2005: Ministra de Economía F. Miceli (hasta 16-07-2007)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
"2005-12-01 12:00:00","2005-12-01 12:00:00","Dic-2005: inicio presidencia Evo Morales, en Bolivia",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2005-12-16 01:07:00","2005-12-16 01:07:00","15-12-2005: discurso de Néstor Kirchner por el pago de la deuda externa soberana al FMI ",<p></p>,60,"[{""""url"""":""""https://drive.google.com/open?id=1EAmthi2YhP1tCA84eyMxEY8fOQx8zTkS"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",da,1,100,0,
"2006-01-01 13:41:00","2006-01-01 13:41:00","2006: política de precios &#34;controlados&#34; para que la inflación sea de 1 dígito",<p></p>,55,,shapes/triangle_gray.png,,ye,1,100,0,
"2006-01-01 22:35:00","2006-01-01 22:35:00","3-1-2006: cancelación efectiva de la deuda total con el FMI (cercana a U$D 11MM)",<p></p>,50,"[{""""url"""":""""https://drive.google.com/file/d/12C3Mm6cJWpf-NF7ouwhxlpcCBYTBqAzG/view?usp=sharing"""",""""label"""":""""Información""""}]",shapes/triangle_gray.png,"{""""src"""":""""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"""",""""display_class"""":""""inline"""",""""scale"""":""""8"""",""""width"""":0,""""height"""":0}",mo,1,100,0,
"2006-12-28 19:26:00","2006-12-28 19:26:00","28-12-2006: Corte Suprema avaló la pesificación y reprogramación de los depósitos",<p></p>,50,,shapes/triangle_gray.png,,da,1,100,0,
"2006-12-30 13:41:00","2006-12-30 13:41:00","Fines 2006: cancelación de la deuda con el FMI",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2007-01-01 12:00:00","2007-01-01 12:00:00","2007: se abandonó el tipo de cambio real competitivo y estable",<p></p>,55,,shapes/triangle_gray.png,,ye,1,100,0,
"2007-01-01 13:41:00","2007-01-01 13:41:00","Com.2007: el Riesgo País argentino se iguala a Brasil y países emergentes (bajaba desde reestructuración deuda 2005)",<p></p>,55,,shapes/triangle_gray.png,,mo,1,100,0,
"2007-01-29 13:41:00","2007-01-29 13:41:00","29-01-2007: intervención del INDEC",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2007-01-29 13:41:00","2007-01-29 13:41:00","2007 y 2008 (parte): período de transición entre el 1º período &#34;K&#34; y el 2º período &#34;K&#34; (Damill-Frenkel)",<p></p>,55,,shapes/triangle_gray.png,,da,1,100,0,
"2007-02-01 12:00:00","2007-02-01 12:00:00","2007: aceleración de la inflación",<p></p>,55,,shapes/triangle_gray.png,,ye,1,100,0,
"2007-04-01 13:41:00","2007-04-01 13:41:00","Abr-2007: castigo a la deuda pública argentina en los mercados financieros (por confirmarse la subestimación IPC; Damill-Frenkel)",<p></p>,50,,shapes/triangle_gray.png,,mo,1,100,0,
"2007-07-17 13:41:00","2007-07-17 13:41:00","17-07-2007: Ministro de Economía M. Peirano (hasta 10-12-2007)",<p></p>,60,,shapes/triangle_gray.png,,da,1,100,0,
